Date,Day of the week,App (Use all CAPITALS),Minutes,Category
8/30,Wednesday,WHATSAPP,143,Social Media
8/30,Wednesday,INSTAGRAM,130,Social Media
8/30,Wednesday,TIKTOK,62,Entertainment
8/30,Wednesday,SPOTIFY,40,Entertainment
8/30,Wednesday,CALCULATOR,20,Education
8/30,Wednesday,GMAIL,15,Education
8/31,Thursday,INSTAGRAM,170,Social Media
8/31,Thursday,WHATSAPP,113,Social Media
8/31,Thursday,SPOTIFY,60,Entertainment
8/31,Thursday,GOOGLE,48,Education
8/31,Thursday,CALCULATOR ,30,Education
8/31,Thursday,TIKTOK ,28,Entertainment
09/01,Friday,WHATSAPP,137,Social Media
09/01,Friday,TIKTOK,125,Entertainment
09/01,Friday,INSTAGRAM,85,Social Media
09/01,Friday,PHOTOS,41,Other
09/01,Friday,SPOTIFY ,30,Entertainment
09/01,Friday,CAMERA,27,Other
09/01,Friday,GOOGLE MAPS ,24,Travel
09/02,Saturday,WHATSAPP,185,Social Media
09/02,Saturday,INSTAGRAM,97,Social Media
09/02,Saturday,PHOTOS,70,Other
09/02,Saturday,TIKTOK,41,Entertainment
09/02,Saturday,GOOGLE,30,Education
09/03,Sunday,INSTAGRAM,81,Social Media
09/03,Sunday,WHATSAPP,67,Social Media
09/03,Sunday,TIKTOK,57,Entertainment
09/03,Sunday,GOOGLE MAPS ,56,Travel
09/03,Sunday,SPOTIFY,44,Entertainment
09/03,Sunday,PHONE,23,Other
09/04,Monday,WHATSAPP,133,Social Media
09/04,Monday,INSTAGRAM,110,Social Media
09/04,Monday,PHOTOS,57,Other
09/04,Monday,SPOTIFY,27,Entertainment
09/04,Monday,TIKTOK,20,Entertainment
09/04,Monday,GMAIL,18,Education
09/04,Monday,GOOGLE MAPS ,15,Travel
09/05,Tuesday,WHATSAPP,60,Social Media
09/05,Tuesday,INSTAGRAM,56,Social Media
09/05,Tuesday,TIKTOK,34,Entertainment
09/05,Tuesday,SPOTIFY,31,Entertainment
09/05,Tuesday,GOOGLE,30,Education
